Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 209, max_th = 9.921720e-01, time=2025-01-12 23:23:44 
jj1 = 328, max_th = 1.722235e+00, time=2025-01-12 23:24:08 
jj1 = 265, max_th = 2.633025e+00, time=2025-01-12 23:24:55 
jj1 = 157, max_th = 2.214551e+00, time=2025-01-12 23:26:16 
jj1 = 156, max_th = 3.139811e+00, time=2025-01-12 23:26:50 
jj1 = 447, max_th = 1.367484e+00, time=2025-01-12 23:26:58 
jj1 = 501, max_th = 2.627410e+00, time=2025-01-12 23:28:02 
jj1 = 89, max_th = 1.990370e+00, time=2025-01-12 23:28:21 
jj1 = 388, max_th = 2.214560e+00, time=2025-01-12 23:31:17 
jj1 = 446, max_th = 2.446408e+00, time=2025-01-12 23:32:56 
jj1 = 208, max_th = 2.222378e+00, time=2025-01-12 23:33:02 
jj1 = 155, max_th = 2.422453e+00, time=2025-01-12 23:34:00 
jj1 = 264, max_th = 1.992418e+00, time=2025-01-12 23:34:20 
jj1 = 327, max_th = 1.979369e+00, time=2025-01-12 23:34:20 
jj1 = 263, max_th = 9.826166e-01, time=2025-01-12 23:36:27 
jj1 = 500, max_th = 2.216293e+00, time=2025-01-12 23:37:10 
jj1 = 88, max_th = 1.975913e+00, time=2025-01-12 23:38:41 
jj1 = 154, max_th = 1.403712e+00, time=2025-01-12 23:38:54 
jj1 = 387, max_th = 2.212885e+00, time=2025-01-12 23:40:20 
jj1 = 445, max_th = 2.202304e+00, time=2025-01-12 23:40:51 
jj1 = 326, max_th = 2.424074e+00, time=2025-01-12 23:41:33 
jj1 = 207, max_th = 1.717674e+00, time=2025-01-12 23:41:46 
jj1 = 87, max_th = 1.406149e+00, time=2025-01-12 23:43:51 
jj1 = 386, max_th = 2.635464e+00, time=2025-01-12 23:44:42 
jj1 = 262, max_th = 1.714166e+00, time=2025-01-12 23:44:59 
jj1 = 499, max_th = 2.209580e+00, time=2025-01-12 23:45:53 
jj1 = 444, max_th = 1.379466e+00, time=2025-01-12 23:46:15 
jj1 = 153, max_th = 1.974949e+00, time=2025-01-12 23:49:16 
jj1 = 325, max_th = 1.683883e+00, time=2025-01-12 23:50:01 
jj1 = 206, max_th = 1.728472e+00, time=2025-01-12 23:50:43 
jj1 = 443, max_th = 2.628817e+00, time=2025-01-12 23:50:45 
jj1 = 86, max_th = 2.222005e+00, time=2025-01-12 23:53:09 
jj1 = 385, max_th = 1.713326e+00, time=2025-01-12 23:53:13 
jj1 = 261, max_th = 2.224414e+00, time=2025-01-12 23:54:18 
jj1 = 498, max_th = 1.725716e+00, time=2025-01-12 23:54:51 
jj1 = 442, max_th = 2.628709e+00, time=2025-01-12 23:55:19 
jj1 = 152, max_th = 2.443019e+00, time=2025-01-12 23:55:37 
jj1 = 260, max_th = 9.742061e-01, time=2025-01-12 23:56:26 
jj1 = 497, max_th = 2.808199e+00, time=2025-01-12 23:57:19 
jj1 = 151, max_th = 2.812678e+00, time=2025-01-12 23:58:05 
jj1 = 324, max_th = 1.718209e+00, time=2025-01-12 23:58:46 
jj1 = 205, max_th = 2.225540e+00, time=2025-01-13 00:00:01 
jj1 = 85, max_th = 2.425833e+00, time=2025-01-13 00:00:29 
jj1 = 204, max_th = 9.509000e-01, time=2025-01-13 00:01:37 
jj1 = 384, max_th = 2.224275e+00, time=2025-01-13 00:02:38 
jj1 = 441, max_th = 1.712590e+00, time=2025-01-13 00:03:48 
jj1 = 259, max_th = 2.219352e+00, time=2025-01-13 00:05:44 
jj1 = 84, max_th = 1.365313e+00, time=2025-01-13 00:05:48 
jj1 = 496, max_th = 2.185215e+00, time=2025-01-13 00:06:39 
jj1 = 150, max_th = 1.955912e+00, time=2025-01-13 00:07:18 
jj1 = 383, max_th = 1.393249e+00, time=2025-01-13 00:07:42 
jj1 = 323, max_th = 1.977058e+00, time=2025-01-13 00:09:02 
jj1 = 440, max_th = 1.408107e+00, time=2025-01-13 00:09:07 
jj1 = 203, max_th = 1.723047e+00, time=2025-01-13 00:10:34 
jj1 = 382, max_th = 1.398584e+00, time=2025-01-13 00:12:12 
jj1 = 258, max_th = 1.724235e+00, time=2025-01-13 00:14:45 
jj1 = 495, max_th = 1.689791e+00, time=2025-01-13 00:14:50 
jj1 = 83, max_th = 1.724446e+00, time=2025-01-13 00:14:51 
jj1 = 149, max_th = 1.694670e+00, time=2025-01-13 00:15:04 
jj1 = 322, max_th = 2.420765e+00, time=2025-01-13 00:16:13 
jj1 = 82, max_th = 2.820780e+00, time=2025-01-13 00:17:20 
