jj1 = 278, max_th = 9.956872e-01, time=2024-12-30 14:36:25 
jj1 = 338, max_th = 1.715332e+00, time=2024-12-30 14:37:33 
jj1 = 100, max_th = 1.963710e+00, time=2024-12-30 14:38:02 
jj1 = 517, max_th = 2.816211e+00, time=2024-12-30 14:38:50 
jj1 = 218, max_th = 1.398849e+00, time=2024-12-30 14:39:05 
jj1 = 396, max_th = 2.216911e+00, time=2024-12-30 14:40:15 
jj1 = 395, max_th = 2.971654e+00, time=2024-12-30 14:41:37 
jj1 = 456, max_th = 1.707698e+00, time=2024-12-30 14:41:55 
jj1 = 516, max_th = 1.394250e+00, time=2024-12-30 14:43:50 
jj1 = 455, max_th = 9.866875e-01, time=2024-12-30 14:44:04 
jj1 = 217, max_th = 1.390625e+00, time=2024-12-30 14:44:17 
jj1 = 159, max_th = 1.990067e+00, time=2024-12-30 14:44:41 
jj1 = 337, max_th = 1.705393e+00, time=2024-12-30 14:45:30 
jj1 = 277, max_th = 1.987933e+00, time=2024-12-30 14:46:08 
jj1 = 216, max_th = 9.711030e-01, time=2024-12-30 14:46:23 
jj1 = 158, max_th = 9.924192e-01, time=2024-12-30 14:46:45 
jj1 = 99, max_th = 1.989285e+00, time=2024-12-30 14:47:42 
jj1 = 515, max_th = 2.627573e+00, time=2024-12-30 14:48:26 
jj1 = 454, max_th = 1.405130e+00, time=2024-12-30 14:49:12 
jj1 = 394, max_th = 1.725291e+00, time=2024-12-30 14:50:38 
jj1 = 98, max_th = 1.400210e+00, time=2024-12-30 14:51:30 
jj1 = 215, max_th = 2.447149e+00, time=2024-12-30 14:52:16 
jj1 = 214, max_th = -1.332404e-02, time=2024-12-30 14:52:42 
jj1 = 514, max_th = 1.391375e+00, time=2024-12-30 14:53:37 
jj1 = 336, max_th = 1.727102e+00, time=2024-12-30 14:54:32 
jj1 = 276, max_th = 1.993683e+00, time=2024-12-30 14:55:27 
jj1 = 157, max_th = 1.724032e+00, time=2024-12-30 14:55:41 
jj1 = 213, max_th = 1.397159e+00, time=2024-12-30 14:57:33 
jj1 = 453, max_th = 1.987254e+00, time=2024-12-30 14:59:05 
jj1 = 212, max_th = 9.757129e-01, time=2024-12-30 14:59:44 
jj1 = 393, max_th = 2.230231e+00, time=2024-12-30 14:59:48 
jj1 = 97, max_th = 2.203800e+00, time=2024-12-30 14:59:51 
jj1 = 513, max_th = 2.219395e+00, time=2024-12-30 15:02:56 
jj1 = 335, max_th = 1.717669e+00, time=2024-12-30 15:03:19 
jj1 = 275, max_th = 1.720100e+00, time=2024-12-30 15:04:19 
jj1 = 96, max_th = 1.402257e+00, time=2024-12-30 15:04:33 
jj1 = 156, max_th = 2.231016e+00, time=2024-12-30 15:04:53 
jj1 = 211, max_th = 1.374102e+00, time=2024-12-30 15:05:10 
jj1 = 512, max_th = 2.813477e+00, time=2024-12-30 15:05:25 
jj1 = 210, max_th = 9.912285e-01, time=2024-12-30 15:07:15 
jj1 = 452, max_th = 1.710281e+00, time=2024-12-30 15:07:23 
jj1 = 392, max_th = 1.725654e+00, time=2024-12-30 15:08:49 
jj1 = 274, max_th = 2.199836e+00, time=2024-12-30 15:10:24 
jj1 = 334, max_th = 1.985233e+00, time=2024-12-30 15:13:17 
jj1 = 451, max_th = 2.443441e+00, time=2024-12-30 15:13:44 
jj1 = 95, max_th = 2.229431e+00, time=2024-12-30 15:13:50 
jj1 = 391, max_th = 1.404981e+00, time=2024-12-30 15:13:57 
jj1 = 511, max_th = 2.210990e+00, time=2024-12-30 15:14:21 
jj1 = 155, max_th = 1.933044e+00, time=2024-12-30 15:15:01 
jj1 = 209, max_th = 1.725810e+00, time=2024-12-30 15:16:19 
jj1 = 94, max_th = 2.628728e+00, time=2024-12-30 15:18:25 
jj1 = 450, max_th = 2.623122e+00, time=2024-12-30 15:18:28 
jj1 = 390, max_th = 1.397293e+00, time=2024-12-30 15:18:39 
jj1 = 273, max_th = 1.712021e+00, time=2024-12-30 15:18:56 
jj1 = 510, max_th = 1.406418e+00, time=2024-12-30 15:19:33 
jj1 = 272, max_th = 2.805086e+00, time=2024-12-30 15:21:22 
jj1 = 389, max_th = 2.637461e+00, time=2024-12-30 15:22:57 
jj1 = 333, max_th = 1.986586e+00, time=2024-12-30 15:23:13 
jj1 = 154, max_th = 1.981380e+00, time=2024-12-30 15:25:12 
jj1 = 208, max_th = 1.961727e+00, time=2024-12-30 15:26:02 
jj1 = 271, max_th = 1.404844e+00, time=2024-12-30 15:26:26 
jj1 = 509, max_th = 2.435359e+00, time=2024-12-30 15:26:26 
jj1 = 93, max_th = 1.723205e+00, time=2024-12-30 15:27:26 
jj1 = 388, max_th = 2.626219e+00, time=2024-12-30 15:27:34 
jj1 = 449, max_th = 1.994548e+00, time=2024-12-30 15:27:44 
jj1 = 153, max_th = 2.628972e+00, time=2024-12-30 15:29:44 
jj1 = 92, max_th = 1.410800e+00, time=2024-12-30 15:32:51 
jj1 = 332, max_th = 1.969361e+00, time=2024-12-30 15:33:24 
jj1 = 387, max_th = 2.431285e+00, time=2024-12-30 15:34:35 
jj1 = 207, max_th = 1.720170e+00, time=2024-12-30 15:34:55 
jj1 = 152, max_th = 1.408948e+00, time=2024-12-30 15:35:09 
jj1 = 508, max_th = 1.725771e+00, time=2024-12-30 15:35:30 
jj1 = 270, max_th = 2.213091e+00, time=2024-12-30 15:35:31 
jj1 = 206, max_th = 9.558247e-01, time=2024-12-30 15:36:48 
jj1 = 448, max_th = 1.983130e+00, time=2024-12-30 15:37:48 
jj1 = 386, max_th = 1.400881e+00, time=2024-12-30 15:38:56 
jj1 = 91, max_th = 2.431036e+00, time=2024-12-30 15:39:51 
jj1 = 331, max_th = 2.217360e+00, time=2024-12-30 15:42:40 
jj1 = 151, max_th = 1.705956e+00, time=2024-12-30 15:43:12 
jj1 = 507, max_th = 1.724906e+00, time=2024-12-30 15:44:34 
jj1 = 269, max_th = 2.221650e+00, time=2024-12-30 15:44:50 
jj1 = 447, max_th = 2.428615e+00, time=2024-12-30 15:44:51 
jj1 = 205, max_th = 1.718636e+00, time=2024-12-30 15:45:39 
jj1 = 385, max_th = 1.716897e+00, time=2024-12-30 15:47:37 
jj1 = 330, max_th = 1.394249e+00, time=2024-12-30 15:47:47 
jj1 = 90, max_th = 2.193859e+00, time=2024-12-30 15:48:31 
jj1 = 150, max_th = 2.428651e+00, time=2024-12-30 15:50:14 
jj1 = 204, max_th = 1.401738e+00, time=2024-12-30 15:50:18 
jj1 = 149, max_th = 2.981951e+00, time=2024-12-30 15:51:30 
jj1 = 506, max_th = 2.215726e+00, time=2024-12-30 15:53:42 
jj1 = 268, max_th = 1.723194e+00, time=2024-12-30 15:53:51 
jj1 = 446, max_th = 1.959028e+00, time=2024-12-30 15:54:27 
jj1 = 384, max_th = 2.427971e+00, time=2024-12-30 15:54:43 
jj1 = 383, max_th = 2.993411e+00, time=2024-12-30 15:55:52 
jj1 = 329, max_th = 2.210799e+00, time=2024-12-30 15:56:46 
jj1 = 382, max_th = 9.927093e-01, time=2024-12-30 15:57:55 
jj1 = 328, max_th = 2.982557e+00, time=2024-12-30 15:58:03 
jj1 = 203, max_th = 1.693648e+00, time=2024-12-30 15:58:09 
jj1 = 89, max_th = 1.983984e+00, time=2024-12-30 15:58:33 
jj1 = 148, max_th = 1.722898e+00, time=2024-12-30 16:00:25 
jj1 = 147, max_th = 9.695707e-01, time=2024-12-30 16:02:29 
jj1 = 445, max_th = 1.709100e+00, time=2024-12-30 16:02:45 
jj1 = 505, max_th = 1.988039e+00, time=2024-12-30 16:03:30 
