MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 366, max_th = 3.143175e+00, time=2024-09-08 12:17:00 
jj1 = 329, max_th = 1.875043e+00, time=2024-09-08 12:17:21 
jj1 = 480, max_th = 2.159772e+00, time=2024-09-08 12:18:26 
jj1 = 522, max_th = 1.188977e+00, time=2024-09-08 12:18:26 
jj1 = 406, max_th = 1.755151e+00, time=2024-09-08 12:18:39 
jj1 = 479, max_th = 3.230132e+00, time=2024-09-08 12:19:17 
jj1 = 132, max_th = 2.506244e+00, time=2024-09-08 12:20:32 
jj1 = 440, max_th = 2.380546e+00, time=2024-09-08 12:21:11 
jj1 = 92, max_th = 2.008169e+00, time=2024-09-08 12:21:55 
jj1 = 173, max_th = 1.754443e+00, time=2024-09-08 12:23:28 
jj1 = 246, max_th = 1.949487e+00, time=2024-09-08 12:23:31 
jj1 = 211, max_th = 2.265516e+00, time=2024-09-08 12:24:32 
jj1 = 478, max_th = 1.634418e+00, time=2024-09-08 12:24:49 
jj1 = 328, max_th = 1.793180e+00, time=2024-09-08 12:26:26 
jj1 = 365, max_th = 1.786050e+00, time=2024-09-08 12:26:47 
jj1 = 131, max_th = 2.202912e+00, time=2024-09-08 12:27:45 
jj1 = 286, max_th = 2.162129e+00, time=2024-09-08 12:28:08 
jj1 = 364, max_th = 1.150515e+00, time=2024-09-08 12:28:23 
jj1 = 91, max_th = 2.452977e+00, time=2024-09-08 12:28:27 
jj1 = 210, max_th = 1.124452e+00, time=2024-09-08 12:28:49 
jj1 = 245, max_th = 2.345359e+00, time=2024-09-08 12:29:58 
jj1 = 405, max_th = 1.930970e+00, time=2024-09-08 12:30:13 
