MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 129, max_th = 2.562196e+00, time=2024-09-04 23:40:08 
jj1 = 284, max_th = 2.116381e+00, time=2024-09-04 23:41:50 
jj1 = 203, max_th = 1.752733e+00, time=2024-09-04 23:41:56 
jj1 = 439, max_th = 1.415362e+00, time=2024-09-04 23:42:06 
jj1 = 396, max_th = 2.379643e+00, time=2024-09-04 23:42:36 
jj1 = 165, max_th = 2.433998e+00, time=2024-09-04 23:42:46 
jj1 = 84, max_th = 1.672784e+00, time=2024-09-04 23:43:24 
jj1 = 475, max_th = 1.226264e+00, time=2024-09-04 23:43:24 
jj1 = 512, max_th = 1.949547e+00, time=2024-09-04 23:44:05 
jj1 = 128, max_th = 2.569143e+00, time=2024-09-04 23:44:26 
jj1 = 245, max_th = 3.214559e+00, time=2024-09-04 23:44:39 
jj1 = 318, max_th = 1.681203e+00, time=2024-09-04 23:45:38 
jj1 = 317, max_th = 9.156932e-01, time=2024-09-04 23:47:46 
jj1 = 438, max_th = 1.623214e+00, time=2024-09-04 23:48:44 
jj1 = 202, max_th = 2.375857e+00, time=2024-09-04 23:49:33 
jj1 = 395, max_th = 2.100622e+00, time=2024-09-04 23:50:32 
jj1 = 201, max_th = 9.640686e-01, time=2024-09-04 23:50:36 
jj1 = 164, max_th = 2.657857e+00, time=2024-09-04 23:51:12 
jj1 = 283, max_th = 1.938147e+00, time=2024-09-04 23:51:45 
jj1 = 437, max_th = 2.922609e+00, time=2024-09-04 23:52:00 
jj1 = 200, max_th = 2.800580e+00, time=2024-09-04 23:52:15 
jj1 = 356, max_th = 1.835818e+00, time=2024-09-04 23:52:33 
jj1 = 474, max_th = 2.440726e+00, time=2024-09-04 23:52:59 
jj1 = 511, max_th = 2.179643e+00, time=2024-09-04 23:53:00 
jj1 = 163, max_th = 3.184835e+00, time=2024-09-04 23:53:52 
jj1 = 127, max_th = 1.894798e+00, time=2024-09-04 23:53:54 
jj1 = 83, max_th = 1.768223e+00, time=2024-09-04 23:54:06 
jj1 = 244, max_th = 1.423139e+00, time=2024-09-04 23:54:24 
jj1 = 282, max_th = 2.471250e+00, time=2024-09-04 23:55:58 
jj1 = 82, max_th = 2.932324e+00, time=2024-09-04 23:56:21 
jj1 = 316, max_th = 1.570510e+00, time=2024-09-04 23:56:33 
jj1 = 473, max_th = 1.459430e+00, time=2024-09-04 23:56:52 
jj1 = 199, max_th = 1.698357e+00, time=2024-09-04 23:58:49 
jj1 = 394, max_th = 2.190902e+00, time=2024-09-04 23:59:51 
jj1 = 243, max_th = 1.755671e+00, time=2024-09-05 00:00:03 
jj1 = 510, max_th = 2.047443e+00, time=2024-09-05 00:00:28 
jj1 = 126, max_th = 2.147570e+00, time=2024-09-05 00:02:36 
jj1 = 162, max_th = 2.107537e+00, time=2024-09-05 00:03:16 
jj1 = 472, max_th = 1.495799e+00, time=2024-09-05 00:03:28 
jj1 = 281, max_th = 1.961654e+00, time=2024-09-05 00:03:36 
jj1 = 355, max_th = 1.984749e+00, time=2024-09-05 00:04:37 
jj1 = 315, max_th = 2.085936e+00, time=2024-09-05 00:05:08 
jj1 = 509, max_th = 2.612574e+00, time=2024-09-05 00:05:09 
jj1 = 314, max_th = 3.307282e+00, time=2024-09-05 00:05:12 
jj1 = 242, max_th = 1.737497e+00, time=2024-09-05 00:05:29 
jj1 = 436, max_th = 1.756686e+00, time=2024-09-05 00:06:19 
jj1 = 198, max_th = 1.668252e+00, time=2024-09-05 00:06:37 
jj1 = 393, max_th = 2.285237e+00, time=2024-09-05 00:06:47 
jj1 = 161, max_th = 1.451896e+00, time=2024-09-05 00:07:04 
jj1 = 81, max_th = 2.389178e+00, time=2024-09-05 00:07:07 
jj1 = 280, max_th = 2.709068e+00, time=2024-09-05 00:09:25 
jj1 = 508, max_th = 2.295192e+00, time=2024-09-05 00:10:24 
jj1 = 125, max_th = 2.084060e+00, time=2024-09-05 00:10:52 
jj1 = 435, max_th = 2.747541e+00, time=2024-09-05 00:12:39 
jj1 = 392, max_th = 2.412784e+00, time=2024-09-05 00:13:01 
jj1 = 313, max_th = 1.652880e+00, time=2024-09-05 00:14:08 
jj1 = 471, max_th = 1.793628e+00, time=2024-09-05 00:14:18 
jj1 = 507, max_th = 2.627258e+00, time=2024-09-05 00:14:19 
jj1 = 80, max_th = 1.825050e+00, time=2024-09-05 00:14:29 
jj1 = 160, max_th = 1.792622e+00, time=2024-09-05 00:15:07 
jj1 = 391, max_th = 1.194879e+00, time=2024-09-05 00:16:13 
jj1 = 354, max_th = 1.969091e+00, time=2024-09-05 00:16:39 
jj1 = 197, max_th = 2.181036e+00, time=2024-09-05 00:16:42 
jj1 = 279, max_th = 2.379318e+00, time=2024-09-05 00:17:31 
jj1 = 312, max_th = 2.286239e+00, time=2024-09-05 00:19:02 
jj1 = 124, max_th = 2.173405e+00, time=2024-09-05 00:19:11 
jj1 = 79, max_th = 2.846029e+00, time=2024-09-05 00:19:34 
jj1 = 311, max_th = 7.486876e-01, time=2024-09-05 00:19:44 
jj1 = 434, max_th = 2.192727e+00, time=2024-09-05 00:20:31 
jj1 = 390, max_th = 2.553451e+00, time=2024-09-05 00:21:01 
jj1 = 196, max_th = 7.746640e-01, time=2024-09-05 00:21:04 
jj1 = 470, max_th = 2.103518e+00, time=2024-09-05 00:21:22 
jj1 = 123, max_th = 5.437348e-01, time=2024-09-05 00:21:23 
jj1 = 159, max_th = 1.695641e+00, time=2024-09-05 00:21:57 
jj1 = 506, max_th = 1.782167e+00, time=2024-09-05 00:22:03 
jj1 = 433, max_th = 1.208517e+00, time=2024-09-05 00:22:26 
jj1 = 353, max_th = 2.246129e+00, time=2024-09-05 00:23:57 
jj1 = 278, max_th = 2.727652e+00, time=2024-09-05 00:24:59 
jj1 = 122, max_th = 1.527240e+00, time=2024-09-05 00:25:12 
jj1 = 389, max_th = 1.242104e+00, time=2024-09-05 00:25:53 
jj1 = 78, max_th = 2.414089e+00, time=2024-09-05 00:26:59 
jj1 = 432, max_th = 1.226279e+00, time=2024-09-05 00:27:13 
jj1 = 505, max_th = 1.923960e+00, time=2024-09-05 00:28:18 
jj1 = 158, max_th = 2.169092e+00, time=2024-09-05 00:28:40 
jj1 = 469, max_th = 1.942470e+00, time=2024-09-05 00:29:04 
jj1 = 121, max_th = 1.417008e+00, time=2024-09-05 00:29:05 
jj1 = 431, max_th = 1.134202e+00, time=2024-09-05 00:29:56 
jj1 = 241, max_th = 2.119616e+00, time=2024-09-05 00:30:20 
jj1 = 310, max_th = 1.906835e+00, time=2024-09-05 00:30:36 
jj1 = 388, max_th = 1.425634e+00, time=2024-09-05 00:30:53 
jj1 = 352, max_th = 2.151159e+00, time=2024-09-05 00:31:12 
jj1 = 195, max_th = 1.288757e+00, time=2024-09-05 00:31:52 
jj1 = 77, max_th = 1.321550e+00, time=2024-09-05 00:32:11 
jj1 = 277, max_th = 1.890218e+00, time=2024-09-05 00:33:18 
jj1 = 309, max_th = -1.962458e-01, time=2024-09-05 00:33:30 
jj1 = 430, max_th = 2.132394e+00, time=2024-09-05 00:34:40 
jj1 = 504, max_th = 1.697793e+00, time=2024-09-05 00:34:50 
jj1 = 429, max_th = 2.843228e+00, time=2024-09-05 00:35:29 
jj1 = 387, max_th = 1.529083e+00, time=2024-09-05 00:36:20 
jj1 = 468, max_th = 1.814785e+00, time=2024-09-05 00:36:49 
jj1 = 157, max_th = 2.256775e+00, time=2024-09-05 00:37:13 
jj1 = 194, max_th = 1.479925e+00, time=2024-09-05 00:37:30 
jj1 = 76, max_th = 2.357517e+00, time=2024-09-05 00:37:45 
jj1 = 120, max_th = 1.634401e+00, time=2024-09-05 00:37:52 
jj1 = 240, max_th = 2.219321e+00, time=2024-09-05 00:39:41 
jj1 = 503, max_th = 1.168326e+00, time=2024-09-05 00:40:45 
jj1 = 428, max_th = 1.296192e+00, time=2024-09-05 00:41:04 
jj1 = 351, max_th = 1.923887e+00, time=2024-09-05 00:41:07 
jj1 = 276, max_th = 2.392282e+00, time=2024-09-05 00:41:38 
jj1 = 75, max_th = 1.237987e+00, time=2024-09-05 00:41:49 
jj1 = 386, max_th = 1.795097e+00, time=2024-09-05 00:42:57 
jj1 = 467, max_th = 2.608557e+00, time=2024-09-05 00:43:01 
jj1 = 119, max_th = 1.471340e+00, time=2024-09-05 00:44:28 
jj1 = 156, max_th = 2.071447e+00, time=2024-09-05 00:44:44 
jj1 = 308, max_th = 1.971743e+00, time=2024-09-05 00:46:01 
jj1 = 275, max_th = 1.500416e+00, time=2024-09-05 00:46:09 
jj1 = 239, max_th = 2.459550e+00, time=2024-09-05 00:46:34 
jj1 = 155, max_th = 2.841863e+00, time=2024-09-05 00:47:13 
jj1 = 74, max_th = 1.477844e+00, time=2024-09-05 00:47:51 
jj1 = 427, max_th = 1.592314e+00, time=2024-09-05 00:48:10 
jj1 = 193, max_th = 1.884338e+00, time=2024-09-05 00:48:19 
jj1 = 73, max_th = 7.921803e-01, time=2024-09-05 00:48:39 
jj1 = 350, max_th = 1.832705e+00, time=2024-09-05 00:49:34 
jj1 = 502, max_th = 2.020976e+00, time=2024-09-05 00:49:37 
jj1 = 466, max_th = 1.793253e+00, time=2024-09-05 00:50:20 
jj1 = 501, max_th = 2.822647e+00, time=2024-09-05 00:50:29 
jj1 = 385, max_th = 2.284060e+00, time=2024-09-05 00:51:18 
jj1 = 465, max_th = 2.709691e+00, time=2024-09-05 00:51:42 
jj1 = 307, max_th = 1.468690e+00, time=2024-09-05 00:51:58 
jj1 = 154, max_th = 2.088584e+00, time=2024-09-05 00:54:55 
jj1 = 238, max_th = 2.003906e+00, time=2024-09-05 00:54:59 
jj1 = 426, max_th = 2.326069e+00, time=2024-09-05 00:55:18 
jj1 = 274, max_th = 2.242639e+00, time=2024-09-05 00:55:39 
jj1 = 72, max_th = 1.806457e+00, time=2024-09-05 00:55:44 
jj1 = 192, max_th = 1.906674e+00, time=2024-09-05 00:56:16 
jj1 = 273, max_th = 6.270796e-01, time=2024-09-05 00:56:33 
jj1 = 349, max_th = 2.218221e+00, time=2024-09-05 00:57:30 
