MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 479, max_th = 2.163208e+00, time=2024-09-06 18:19:22 
jj1 = 478, max_th = 9.655307e-01, time=2024-09-06 18:21:37 
jj1 = 168, max_th = 9.443702e-01, time=2024-09-06 18:21:48 
jj1 = 167, max_th = 2.233064e-01, time=2024-09-06 18:22:41 
jj1 = 89, max_th = 2.424084e+00, time=2024-09-06 18:23:33 
jj1 = 206, max_th = 1.354842e+00, time=2024-09-06 18:24:42 
jj1 = 397, max_th = 2.000671e+00, time=2024-09-06 18:25:09 
jj1 = 446, max_th = 2.128292e+00, time=2024-09-06 18:25:29 
jj1 = 134, max_th = 1.851910e+00, time=2024-09-06 18:28:31 
jj1 = 445, max_th = 1.204241e+00, time=2024-09-06 18:29:07 
jj1 = 88, max_th = 2.494841e+00, time=2024-09-06 18:29:39 
jj1 = 166, max_th = 1.522073e+00, time=2024-09-06 18:30:08 
jj1 = 396, max_th = 2.193693e+00, time=2024-09-06 18:31:32 
jj1 = 522, max_th = 1.922892e+00, time=2024-09-06 18:32:59 
jj1 = 328, max_th = 2.146348e+00, time=2024-09-06 18:33:03 
jj1 = 363, max_th = 2.366967e+00, time=2024-09-06 18:34:22 
jj1 = 87, max_th = 2.768892e+00, time=2024-09-06 18:34:44 
jj1 = 205, max_th = 1.852563e+00, time=2024-09-06 18:34:52 
jj1 = 248, max_th = 1.453996e+00, time=2024-09-06 18:36:33 
jj1 = 286, max_th = 2.088956e+00, time=2024-09-06 18:36:41 
jj1 = 444, max_th = 1.839929e+00, time=2024-09-06 18:36:57 
jj1 = 247, max_th = 1.064266e+00, time=2024-09-06 18:39:28 
jj1 = 86, max_th = 1.160508e+00, time=2024-09-06 18:40:14 
jj1 = 327, max_th = -3.990157e-01, time=2024-09-06 18:42:43 
jj1 = 362, max_th = 2.703947e+00, time=2024-09-06 18:43:29 
jj1 = 165, max_th = 2.005322e+00, time=2024-09-06 18:46:20 
jj1 = 204, max_th = 2.172291e+00, time=2024-09-06 18:47:08 
jj1 = 477, max_th = 2.126353e+00, time=2024-09-06 18:48:04 
jj1 = 395, max_th = 1.576393e+00, time=2024-09-06 18:48:28 
jj1 = 85, max_th = 1.951389e+00, time=2024-09-06 18:48:42 
jj1 = 443, max_th = 1.805392e+00, time=2024-09-06 18:51:51 
jj1 = 476, max_th = -1.109968e+00, time=2024-09-06 18:54:39 
jj1 = 164, max_th = 1.336081e+00, time=2024-09-06 18:55:59 
jj1 = 203, max_th = 1.844482e+00, time=2024-09-06 18:56:32 
jj1 = 285, max_th = 1.803114e+00, time=2024-09-06 18:56:35 
jj1 = 442, max_th = 1.323067e+00, time=2024-09-06 18:56:58 
jj1 = 84, max_th = 2.582803e+00, time=2024-09-06 18:57:01 
jj1 = 475, max_th = 9.312680e-01, time=2024-09-06 18:57:10 
jj1 = 202, max_th = 1.596347e-01, time=2024-09-06 18:58:37 
jj1 = 361, max_th = 1.534609e+00, time=2024-09-06 18:58:38 
jj1 = 394, max_th = 2.007956e+00, time=2024-09-06 19:00:43 
jj1 = 246, max_th = 2.116389e+00, time=2024-09-06 19:02:31 
jj1 = 163, max_th = 1.421581e+00, time=2024-09-06 19:03:15 
jj1 = 133, max_th = 1.926976e+00, time=2024-09-06 19:03:22 
jj1 = 162, max_th = 3.778103e+00, time=2024-09-06 19:03:24 
jj1 = 326, max_th = 1.762974e+00, time=2024-09-06 19:04:23 
jj1 = 441, max_th = 1.335178e+00, time=2024-09-06 19:04:44 
jj1 = 440, max_th = 5.066629e-01, time=2024-09-06 19:05:46 
jj1 = 393, max_th = 2.701111e+00, time=2024-09-06 19:06:22 
jj1 = 439, max_th = 1.300618e+00, time=2024-09-06 19:08:49 
jj1 = 83, max_th = 2.320492e+00, time=2024-09-06 19:08:50 
jj1 = 474, max_th = 1.595061e+00, time=2024-09-06 19:09:52 
jj1 = 161, max_th = 1.022166e+00, time=2024-09-06 19:12:15 
jj1 = 201, max_th = 2.066910e+00, time=2024-09-06 19:12:21 
jj1 = 392, max_th = 2.384070e+00, time=2024-09-06 19:13:04 
jj1 = 360, max_th = 2.045821e+00, time=2024-09-06 19:18:09 
jj1 = 438, max_th = 2.040792e+00, time=2024-09-06 19:19:07 
jj1 = 82, max_th = 2.246509e+00, time=2024-09-06 19:20:58 
jj1 = 160, max_th = 1.744987e+00, time=2024-09-06 19:21:15 
jj1 = 132, max_th = 2.086423e+00, time=2024-09-06 19:21:33 
jj1 = 159, max_th = 2.798248e+00, time=2024-09-06 19:21:59 
jj1 = 359, max_th = 7.557056e-01, time=2024-09-06 19:22:05 
jj1 = 200, max_th = 1.967539e+00, time=2024-09-06 19:23:03 
jj1 = 81, max_th = 6.142097e-01, time=2024-09-06 19:24:24 
jj1 = 245, max_th = 2.408661e+00, time=2024-09-06 19:24:53 
jj1 = 284, max_th = 1.500496e+00, time=2024-09-06 19:24:59 
jj1 = 391, max_th = 2.306785e+00, time=2024-09-06 19:25:01 
