Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 374, max_th = 2.434652e+00, time=2025-01-01 15:01:00 
jj1 = 252, max_th = 1.713670e+00, time=2025-01-01 15:03:07 
jj1 = 491, max_th = 1.727610e+00, time=2025-01-01 15:03:10 
jj1 = 315, max_th = 2.440037e+00, time=2025-01-01 15:06:42 
jj1 = 198, max_th = 2.445416e+00, time=2025-01-01 15:07:11 
jj1 = 434, max_th = 1.978087e+00, time=2025-01-01 15:07:34 
jj1 = 133, max_th = 2.213313e+00, time=2025-01-01 15:07:50 
jj1 = 251, max_th = 1.402271e+00, time=2025-01-01 15:07:59 
jj1 = 373, max_th = 2.432135e+00, time=2025-01-01 15:08:04 
jj1 = 75, max_th = 1.980488e+00, time=2025-01-01 15:09:22 
jj1 = 490, max_th = 2.406967e+00, time=2025-01-01 15:10:08 
jj1 = 314, max_th = 2.624262e+00, time=2025-01-01 15:11:26 
jj1 = 489, max_th = 9.965222e-01, time=2025-01-01 15:12:07 
jj1 = 372, max_th = 2.634300e+00, time=2025-01-01 15:12:35 
jj1 = 250, max_th = 1.393034e+00, time=2025-01-01 15:13:16 
jj1 = 132, max_th = 2.437832e+00, time=2025-01-01 15:14:37 
jj1 = 197, max_th = 2.215363e+00, time=2025-01-01 15:16:28 
